附件5,,,,,,,,,,,,
中国电信移动网191H码汇总表(截至2018年第四批.此表仅用于终端配置使用，不作为网络、IT相关配置依据),,,,,,,,,,,,
省份,城市,城市区号,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
甘肃,嘉峪关,937,,,,,,,,,,372-373
甘肃,定西,932,932,,,,,,,,,320-328
甘肃,平凉,933,933,,,,,,,,,330-332、334
甘肃,武威,935,935,,,,,,,,,352-353
甘肃,张掖,936,936,,,,,,,,,360-361
甘肃,天水,938,938、944-949,,,,,,,,,354、374、380-389、394
甘肃,临夏,930,930,,,,,,,,,300-303
甘肃,甘南,941,942-943,,,,,,,,,
甘肃,白银,943,941,,,,,,,,,304、362-364
贵州,黔东南,855,855,,,,,,,,505、545,
贵州,兴义,859,,,,,,,,,,
贵州,六盘水,858,858,782-783、785-788,,,,,515,,430-431、448、450-451、455、508、533、548、576、580-589,
贵州,毕节,857,857,,,,,,,,507、547,
贵州,铜仁,856,856,763、765-767、769,,,,,,,436、446-447、456-457、506、531、546、560-569,
贵州,凯里,855,,,,,,,,,,
贵州,都匀,854,,,,,,,,,,
贵州,安顺,851,853,,,,,,,,503、543,
贵州,遵义,851,852,760-762、770-772、776-781、784,,,,,512,,432、438-442、445、452-453、458、502、510-529、532、534、542、549、570-575、578-579,
贵州,贵阳,851,850-851,,,,,,510-511、514,,500-501、540-541,
贵州,黔南,854,854,768、789,,,,,513、516,,434-435、443-444、454、504、530、535-539、544、550-558,
贵州,黔西南,859,859,764、773-775,,,,,,,433、437、449、459、509、559、577、590-599,
海南,海口,898,,,,,,,,,980-989,
海南,三亚,898,,,,,,,,,,
海南,儋州,898,,,,,,,,,,
宁夏,银川,951,950-951、956-959,,,,,,,,,510-511、514、516-518、520-521
宁夏,石嘴山,952,952,,,,,,,,,512
宁夏,吴忠,953,953,,,,,,,,,513
宁夏,固原,954,954,,,,,,,,,519
宁夏,中卫,955,955,,,,,,,,,515
青海,西宁,971,971、978,,,,,,,,,711、714、716、744
青海,海东,972,972,,,,,,,,,712、715、742、745
青海,黄南,973,973,,,,,,,,,713
青海,海西,977,977,,,,,,,,,717、743、747
青海,海南,974,974,,,,,,,,,718
青海,海北,970,970,,,,,,,,,710、740-741
青海,果洛,975,975,,,,,,,,,
青海,玉树,976,976,,,,,,,,,746
青海,格尔木,979,979,,,,,,,,,719、748-749
西藏,阿里,897,897,,,,,,,,,
西藏,那曲,896,896,,,,,,,,910,
西藏,昌都,895,895,,,,,,,,912,
西藏,林芝,894,894,,,,,,,,,
西藏,山南,893,893,,,,,,,,913,
西藏,日喀则,892,890、892,,,,,,,,,
西藏,拉萨,891,891、898-899,,,,,,,,911,
北京,北京,10,100-109,020-044,,,,,,,,
天津,天津,22,220-229,,500-506,,,,,,,
山东,济南,531,531、541、640-641、644,,,,,310-317、442-443、445,,,,
山东,青岛,532,532、542、639、642、648,,,,,320-327、440-441、444,,,,
山东,淄博,533,533、638、643,,,,,332-333、335-336、448,,,,
山东,烟台,535,535、545、645,,,,,350-354、356-357、446-447,,,,
山东,济宁,537,537、547,,,,,370-379,308-309、314、345-346,,,
山东,临沂,539,539、549,,,,,390-399,304-307、313、344,,,
山东,东营,546,546、647,,,,,460-462,,,,
山东,枣庄,632,632,,,,,,320-324,,,
山东,聊城,635,635,,,,,,350-354、356-357,,,
山东,莱芜,634,634,,,,,,340,,,
山东,日照,633,633,,,,,334,330-336,,,
山东,威海,631,630-631,,,,,,310-311,,,
山东,滨州,543,543、649,,,,,330-331、430-437,,,,
山东,泰安,538,538、548,,,,,380-383,341,,,
山东,潍坊,536,536、636、646,,,,,344、360-369、449,300-301、312、343、347,,,
山东,德州,534,534、544、637,,,,,340-341、345-347,,,,
山东,菏泽,530,530、540,,,,,300-309、342-343、384-385,302-303、342,,,
河南,郑州,371,371、380-386、388、397,,,710-719、726-729、740-744、746-749、760-764、790-794、970-981,371、380-386,,,,,
河南,新乡,373,373,,,730,373,,,,,
河南,平顶山,375,375,,,731、750-759、982,375,,,,,
河南,南阳,377,377,,,703、722-723、770-779、949,377,,,,,
河南,洛阳,379,379、389,,,732,379、389,,,,,
河南,焦作,391,390-391,,,,391,,,,,
河南,濮阳,393,393,,,,393,,,,,
河南,三门峡,398,398,,,,398,,,,,
河南,驻马店,396,396,,,720-721、745、943-944、950-954、960-969、983-984,387-388、390、396-397,,,,,
河南,漯河,395,395,,,,395,,,,,
河南,周口,394,387、394,,,940-942、945-947,394,,,,,
河南,鹤壁,392,392,,,,392,,,,,
河南,商丘,370,370,,,700-702、704、724-725,370,,,,,
河南,开封,371,378,,,733、780-784,378,,,,,
河南,信阳,376,376,,,735、948,376,,,,,
河南,许昌,374,374、399,,,,374、399,,,,,
河南,安阳,372,372,,,734,372,,,,,
辽宁,沈阳,24,240-249、424-425,,,,,,,,,
辽宁,铁岭,24,410,,,,,,,,,
辽宁,鞍山,412,412,,,,,,,,,
辽宁,本溪,24,414,,,,,,,,,
辽宁,锦州,416,416,,,,,,,,,
辽宁,阜新,418,418,,,,,,,,,
辽宁,朝阳,421,,,,,118,,,,,
辽宁,葫芦岛,429,,,,,119,,,,,
辽宁,盘锦,427,,,,,117,,,,,
辽宁,辽阳,419,419,,,,,,,,,
辽宁,营口,417,417,,,,,,,,,
辽宁,丹东,415,415,,,,,,,,,
辽宁,抚顺,24,413,,,,,,,,,
辽宁,大连,411,411、422-423,,,,110-116,,,,,
河北,邯郸,310,310、330-334,,,100-105,340-343,,,,,
河北,保定,312,312,,,121-122、124-125、358,332-333,,,,,
河北,张家口,313,313、323,,,135、145,,,,,,
河北,承德,314,314,,,123、140、148、357、359,,,,,,
河北,唐山,315,315,,,141-144、150-155、180-184、351-352,345、349,,,,,
河北,廊坊,316,316、326、336,,,146、160-165、356,334-336、346-347,,,,,
河北,沧州,317,317、327、337,,,170-175,337-339,,,,,
河北,衡水,318,318、328,,,,,,,,,
河北,邢台,319,319-322、324-325、329、339,,,113、120、130-134、190-195、353-355,344、348,,,,,
河北,秦皇岛,335,335,,,136、350,,,,,,
河北,石家庄,311,311、338,,,110-112、114-115、147、149、185,330-331,,,,,
山西,太原,351,340-347、351,,,501-503、510-517、521-523、531-533、541-543、550-552、561-563、571-573,,,,,,
山西,朔州,349,349,,,,,,,,,
山西,忻州,350,350,,,500、504,,,,,,
山西,大同,352,352,,,520、524-525,,,,,,
山西,阳泉,353,353,,,530,,,,,,
山西,长治,355,355,,,553-554、557,,,,,,
山西,晋城,356,356,,,560,,,,,,
山西,临汾,357,357,,,570,,,,,,
山西,运城,359,348、359,,,581-583、590-595,,,,,,
山西,晋中,354,354,,,540,,,,,,
山西,吕梁,358,358,,,580、584,,,,,,
内蒙古,呼和浩特,471,471、481,,,,711、714、718、728,,,,,
内蒙古,通辽,475,475、485,,,,715,,,,,
内蒙古,鄂尔多斯,477,477、487,,,,717,,,,,
内蒙古,阿拉善盟,483,483,,,,723,,,,,
内蒙古,兴安盟,482,482,,,,722,,,,,
内蒙古,锡林郭勒,479,479、489,,,,719,,,,,
内蒙古,巴彦淖尔,478,478、488,,,,,,,,,
内蒙古,赤峰,476,476、486,,,,716、721、724-727、729,,,,,
内蒙古,乌兰察布,474,474、484,,,,,,,,,
内蒙古,呼伦贝尔,470,470、480,,,,710,,,,,
内蒙古,包头,472,472,,,,712、720,,,,,
内蒙古,乌海,473,473,,,,713,,,,,
吉林,长春,431,430-431、440-441,,,,450-451、454、456-457、459,,,,,
吉林,吉林,432,432、442,,,,452-453,,,,,
吉林,延边,433,433、443,,,,,,,,,
吉林,四平,434,434、444,,,,455,,,,,
吉林,通化,435,435、445,,,,,,,,,
吉林,白城,436,436、446,,,,,,,,,
吉林,辽源,437,437、447,,,,,,,,,
吉林,松原,438,438、448,,,,458,,,,,
吉林,白山,439,439、449,,,,,,,,,
黑龙江,哈尔滨,451,360-361、364、366、450-451、460-461、465,,,,510-513,,,,,
黑龙江,齐齐哈尔,452,362、452、462、466,,,,,,,,,
黑龙江,牡丹江,453,453,,,,,,,,,
黑龙江,佳木斯,454,368、454,,,,,,,,,
黑龙江,绥化,455,365、455,,,,,,,,,
黑龙江,黑河,456,456,,,,,,,,,
黑龙江,大兴安岭,457,457,,,,,,,,,
黑龙江,伊春,458,458,,,,,,,,,
黑龙江,大庆,459,369、459、463,,,,,,,,,
黑龙江,七台河,464,367、464,,,,,,,,,
黑龙江,鸡西,467,467,,,,,,,,,
黑龙江,鹤岗,468,468,,,,,,,,,
黑龙江,双鸭山,469,363、469,,,,,,,,,
